response_time,response_corr,subject,attention,coherency,prioritization,category,cpp_peak,cpp_slope,cpp_amplitude
0.387160138081526,1,sub-017,double,high,no,car,7.2910220929452865e-06,1.4735332450998509e-05,6.692864583276621e-06
0.385565902659437,1,sub-017,right,high,yes,face,9.618784885318406e-06,7.9566191324914e-06,7.184589306711873e-06
0.393188110087067,1,sub-017,left,high,yes,car,9.222354697377314e-06,-2.4437290184369792e-05,5.614409152380899e-06
0.259851327631623,1,sub-017,double,high,no,car,3.066622103458705e-06,6.105353698428533e-05,-3.5225049405554934e-06
0.437918089242885,1,sub-017,double,low,no,car,9.09471343620694e-06,3.970308797545444e-05,9.454500392871319e-06
0.317980479550897,1,sub-017,right,high,yes,face,6.005446594642301e-07,2.2179758866470763e-05,2.307041489905591e-06
0.286933605355443,0,sub-017,double,high,no,car,5.220182203878558e-06,-2.656143711012886e-05,4.191478653466578e-06
0.294585441763047,1,sub-017,left,high,yes,face,9.389429331274067e-06,0.0001032108489248434,7.144322897887524e-06
0.406198787124595,1,sub-017,double,high,no,car,-1.4190760963602488e-06,1.4984563163641644e-05,3.826530546986542e-06
0.351589525744203,1,sub-017,right,low,yes,car,100.0,8.882082947722945e-06,2.2023166929729754e-06
0.397312437868095,0,sub-017,double,low,no,face,5.389975140265697e-06,4.62970228991387e-05,7.98385589568457e-06
0.411188172292896,1,sub-017,double,high,no,face,8.087883893134868e-06,7.980808763635025e-05,7.4276641940505725e-06
0.298522640950978,1,sub-017,double,high,no,face,6.561596049622438e-06,4.743545013954507e-06,3.2527740557235982e-06
0.266192806098843,1,sub-017,double,high,no,face,6.504178095677908e-06,4.284757759981779e-05,6.848906080387359e-06
0.280330747948028,1,sub-017,double,high,no,face,8.56096970532574e-06,2.5142727783576545e-05,-5.085598404952715e-07
0.350529400719097,1,sub-017,left,low,yes,face,8.991130559905995e-06,6.065922051451855e-05,4.116745792868071e-06
0.284782663977239,1,sub-017,double,low,no,face,7.826694562867083e-06,-2.2759685422549803e-05,7.005768044387524e-06
0.547592966569937,0,sub-017,double,low,no,face,6.330590568157588e-06,5.745516669461034e-05,4.368104135237724e-06
0.360418624783051,1,sub-017,double,low,no,car,7.541270386914099e-06,2.538187151982643e-05,9.21949334511459e-06
0.288944442858337,1,sub-017,double,high,no,face,9.082510580223683e-06,3.8544882243218384e-05,3.1858879268982516e-06
0.663985868450254,1,sub-017,double,low,no,car,4.552420495409778e-06,-6.889714128466898e-05,-2.2172376103840274e-06
0.307463881821604,1,sub-017,right,high,yes,car,6.396269476253801e-06,7.067444247804984e-05,4.598184783824895e-06
0.644721465403563,1,sub-017,right,low,yes,face,1.0812073785239233e-05,-2.578425714652268e-06,4.225345023135951e-06
0.471347522936412,1,sub-017,double,high,no,face,100.0,7.113426223279001e-05,7.333561287088948e-06
0.382941688701976,1,sub-017,double,high,no,face,4.660518816003161e-06,3.6038090678932543e-06,3.4434278837194227e-06
0.335274165758165,1,sub-017,right,high,yes,face,7.349931259432317e-06,3.5170893946545203e-05,4.480269198779497e-06
0.25467225376633,1,sub-017,right,high,yes,face,1.0428558302485405e-05,2.9883158648300628e-05,4.852162422469035e-06
0.595980693513411,1,sub-017,right,low,yes,face,1.1956444719487707e-05,-1.2473376374992818e-05,5.200833747375157e-06
0.823916733323131,1,sub-017,left,low,yes,face,1.5875671351784914e-05,3.775645755224076e-05,8.234853573990792e-06
1.01992379162402,0,sub-017,right,low,yes,car,1.4547485837581279e-05,3.141026096406279e-05,6.987070729533188e-06
0.397480359504698,1,sub-017,double,high,no,car,7.649062869648798e-06,-1.983078242173026e-05,5.153476451862756e-06
0.890266703150701,1,sub-017,right,low,yes,face,100.0,-4.4951570070062855e-05,3.0147112288444153e-07
0.41969756243634,1,sub-017,double,high,no,car,1.0449927111859473e-05,4.2833152143661305e-05,1.2119184659455331e-05
1.03537077530927,1,sub-017,left,low,yes,face,3.1669857536079335e-05,-2.473180299640905e-06,8.330513486600225e-06
0.357469738461077,1,sub-017,right,high,yes,face,-4.281338663657971e-05,3.8944850224591854e-05,-4.289248360972219e-05
0.461834324989468,1,sub-017,double,low,no,car,7.085876258221562e-06,-9.53507585233953e-06,4.742318982004825e-06
0.374241753990646,1,sub-017,double,high,no,car,1.0697463356680686e-05,5.4908556321977983e-05,7.980766815352343e-06
0.56157014213386,1,sub-017,double,low,no,face,3.457723470937699e-06,5.1892695544810934e-06,-2.3951653510508535e-06
0.424911246154807,1,sub-017,double,high,no,car,100.0,1.7681745272815777e-05,5.006919744135332e-06
0.481320797392982,1,sub-017,double,low,no,face,1.6353795723805333e-05,-2.162694600015684e-05,8.106006089516229e-06
0.322161338510341,1,sub-017,double,high,no,face,5.601840008077065e-06,4.7875267530721987e-05,5.348531038630819e-06
0.313725121450261,1,sub-017,left,high,yes,face,100.0,-7.803678630291256e-06,1.92377871943523e-06
0.327763361216057,1,sub-017,left,high,yes,face,9.907364777378871e-06,-4.7559921326912755e-05,3.2450850336661536e-06
0.362324187211925,1,sub-017,right,high,yes,car,6.648210859558538e-06,2.7928817703397355e-05,5.534263360306838e-06
0.429325541917933,1,sub-017,double,low,no,face,5.1010529324019545e-06,-3.448754789218742e-05,4.845703879404015e-07
0.399433904531179,1,sub-017,double,low,no,car,1.5663585125266014e-05,4.6391676507959823e-05,7.725599352558352e-06
0.462012504431186,1,sub-017,right,high,yes,face,4.334417072029692e-06,4.733669819870141e-06,3.7774347340477566e-06
0.703831906692358,0,sub-017,double,low,no,face,100.0,3.5876748130108116e-05,-8.741697853901206e-07
0.820198530869675,1,sub-017,double,low,no,car,1.408571926658231e-05,4.6893872571892096e-06,5.531852211631485e-06
0.445343905463233,1,sub-017,double,high,no,face,-9.565566251393977e-07,2.2727755905215735e-05,1.7490291097043665e-06
0.594993597260327,1,sub-017,double,low,no,face,6.084106625980527e-06,-5.769833176098714e-06,8.46539585090293e-06
0.420328685431741,1,sub-017,right,low,yes,car,1.1884875309773295e-05,-3.395423611035519e-05,6.7709883170278e-06
0.667957167461282,1,sub-017,double,low,no,face,8.392721384610383e-06,3.5573021367347866e-06,9.83336974102868e-06
0.860180005591246,0,sub-017,double,low,no,car,6.300826466456662e-06,-2.5159966109237967e-05,5.18193263797849e-06
0.584222561970819,1,sub-017,left,low,yes,face,-1.1465375110390581e-06,6.751998441181647e-05,9.963726789733553e-07
0.716756851499667,0,sub-017,left,low,yes,car,100.0,4.382257852869819e-05,-1.5135770443348897e-08
